,years,meat consumption (kg/person),Area
0,2004,86.53295128939827,Portugal
1,2005,87.51191611058151,Portugal
2,2006,90.104662226451,Portugal
3,2007,97.05603038936373,Portugal
4,2008,95.7345971563981,Portugal
5,2009,96.59090909090908,Portugal
6,2010,96.40491958372753,Portugal
7,2011,93.28287606433301,Portugal
8,2012,91.55597722960152,Portugal
9,2013,92.08770257387988,Portugal
10,2014,108.2,Portugal
11,2015,111.2,Portugal
12,2016,113.0,Portugal
13,2017,113.8,Portugal
14,2018,117.4,Portugal
