Domain;Country;Element;Item;Year;Unit;Value
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Bovine Meat;2012;kg;27.39
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Bovine Meat;2013;kg;28.46
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2004;kg;1.13
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2005;kg;0.99
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2006;kg;1.01
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2007;kg;1.21
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2008;kg;1.06
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2009;kg;1.09
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2010;kg;0.97
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2011;kg;0.96
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2012;kg;0.75
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2013;kg;0.92
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Pigmeat;2004;kg;24.34
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Pigmeat;2005;kg;44.04
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Pigmeat;2006;kg;32.06
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Pigmeat;2007;kg;40.13
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Pigmeat;2008;kg;26.31
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Pigmeat;2009;kg;19.38
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Pigmeat;2010;kg;22.78
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Pigmeat;2011;kg;18.25
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Pigmeat;2012;kg;25.22
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Pigmeat;2013;kg;24.87
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Poultry Meat;2004;kg;16.9
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Poultry Meat;2005;kg;19.67
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Poultry Meat;2006;kg;19.07
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Poultry Meat;2007;kg;19.96
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Poultry Meat;2008;kg;22.72
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Poultry Meat;2009;kg;18.91
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Poultry Meat;2010;kg;21.99
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Poultry Meat;2011;kg;25.76
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Poultry Meat;2012;kg;22.05
Food Supply - Livestock and Fish Primary Equivalent;Denmark;Food supply quantity (kg/capita/yr);Poultry Meat;2013;kg;26.75
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Bovine Meat;2004;kg;12.39
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Bovine Meat;2005;kg;12.66
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Bovine Meat;2006;kg;13.79
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Bovine Meat;2007;kg;14.09
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Bovine Meat;2008;kg;14.21
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Bovine Meat;2009;kg;12.92
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Bovine Meat;2010;kg;12.63
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Bovine Meat;2011;kg;13.57
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Bovine Meat;2012;kg;10.72
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Bovine Meat;2013;kg;7.19
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2004;kg;0.27
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2005;kg;0.3
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2006;kg;0.48
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2007;kg;0.54
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2008;kg;0.73
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2009;kg;0.66
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2010;kg;0.55
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2011;kg;0.49
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2012;kg;0.44
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2013;kg;0.44
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Pigmeat;2004;kg;30.99
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Pigmeat;2005;kg;28.71
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Pigmeat;2006;kg;34.81
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Pigmeat;2007;kg;37.81
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Pigmeat;2008;kg;34.43
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Pigmeat;2009;kg;34.73
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Pigmeat;2010;kg;38.52
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Pigmeat;2011;kg;36.79
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Pigmeat;2012;kg;29.57
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Pigmeat;2013;kg;29.68
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Poultry Meat;2004;kg;15.68
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Poultry Meat;2005;kg;16.32
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Poultry Meat;2006;kg;16.33
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Poultry Meat;2007;kg;17.69
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Poultry Meat;2008;kg;18.27
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Poultry Meat;2009;kg;20.03
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Poultry Meat;2010;kg;20.99
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Poultry Meat;2011;kg;19.23
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Poultry Meat;2012;kg;20.09
Food Supply - Livestock and Fish Primary Equivalent;Estonia;Food supply quantity (kg/capita/yr);Poultry Meat;2013;kg;21.11
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Bovine Meat;2004;kg;18.94
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Bovine Meat;2005;kg;19
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Bovine Meat;2006;kg;19.02
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Bovine Meat;2007;kg;18.58
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Bovine Meat;2008;kg;18.3
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Bovine Meat;2009;kg;18.19
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Bovine Meat;2010;kg;18.63
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Bovine Meat;2011;kg;18.91
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Bovine Meat;2012;kg;19.28
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Bovine Meat;2013;kg;19.22
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2004;kg;0.29
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2005;kg;0.32
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2006;kg;0.43
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2007;kg;0.53
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2008;kg;0.48
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2009;kg;0.48
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2010;kg;0.46
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2011;kg;0.58
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2012;kg;0.57
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2013;kg;0.53
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Pigmeat;2004;kg;32.94
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Pigmeat;2005;kg;33.41
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Pigmeat;2006;kg;33.08
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Pigmeat;2007;kg;35.18
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Pigmeat;2008;kg;33.96
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Pigmeat;2009;kg;33.97
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Pigmeat;2010;kg;36.34
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Pigmeat;2011;kg;34.77
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Pigmeat;2012;kg;37.31
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Pigmeat;2013;kg;36.14
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Poultry Meat;2004;kg;17.99
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Poultry Meat;2005;kg;17.89
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Poultry Meat;2006;kg;17.33
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Poultry Meat;2007;kg;18.79
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Poultry Meat;2008;kg;19.66
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Poultry Meat;2009;kg;18.41
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Poultry Meat;2010;kg;17.54
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Poultry Meat;2011;kg;18.19
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Poultry Meat;2012;kg;19.15
Food Supply - Livestock and Fish Primary Equivalent;Finland;Food supply quantity (kg/capita/yr);Poultry Meat;2013;kg;19.87
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Bovine Meat;2004;kg;26.24
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Bovine Meat;2005;kg;26.52
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Bovine Meat;2006;kg;25.77
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Bovine Meat;2007;kg;26.67
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Bovine Meat;2008;kg;25.83
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Bovine Meat;2009;kg;26.1
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Bovine Meat;2010;kg;25.92
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Bovine Meat;2011;kg;25.35
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Bovine Meat;2012;kg;25.12
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Bovine Meat;2013;kg;23.81
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2004;kg;3.37
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2005;kg;3.35
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2006;kg;3.32
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2007;kg;3.31
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2008;kg;3.36
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2009;kg;3.35
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2010;kg;3.33
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2011;kg;3.3
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2012;kg;3.3
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2013;kg;3.28
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Pigmeat;2004;kg;33.57
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Pigmeat;2005;kg;34.4
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Pigmeat;2006;kg;34.89
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Pigmeat;2007;kg;34.31
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Pigmeat;2008;kg;34.75
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Pigmeat;2009;kg;34.88
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Pigmeat;2010;kg;34.47
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Pigmeat;2011;kg;33.46
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Pigmeat;2012;kg;33.63
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Pigmeat;2013;kg;33.05
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Poultry Meat;2004;kg;24.21
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Poultry Meat;2005;kg;20.78
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Poultry Meat;2006;kg;20.08
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Poultry Meat;2007;kg;20.98
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Poultry Meat;2008;kg;24.18
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Poultry Meat;2009;kg;23.66
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Poultry Meat;2010;kg;23.05
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Poultry Meat;2011;kg;23.72
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Poultry Meat;2012;kg;24.01
Food Supply - Livestock and Fish Primary Equivalent;France;Food supply quantity (kg/capita/yr);Poultry Meat;2013;kg;22.93
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Bovine Meat;2004;kg;12.28
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Bovine Meat;2005;kg;12.09
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Bovine Meat;2006;kg;12.17
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Bovine Meat;2007;kg;12.78
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Bovine Meat;2008;kg;12.56
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Bovine Meat;2009;kg;12.55
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Bovine Meat;2010;kg;12.59
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Bovine Meat;2011;kg;13.37
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Bovine Meat;2012;kg;13.34
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Bovine Meat;2013;kg;13.16
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2004;kg;0.9
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2005;kg;0.97
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2006;kg;0.9
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2007;kg;0.9
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2008;kg;0.82
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2009;kg;0.78
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2010;kg;0.77
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2011;kg;0.88
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2012;kg;0.75
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2013;kg;0.73
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Pigmeat;2004;kg;53.61
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Pigmeat;2005;kg;53.21
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Pigmeat;2006;kg;53.43
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Pigmeat;2007;kg;54.54
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Pigmeat;2008;kg;53.04
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Pigmeat;2009;kg;53.34
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Pigmeat;2010;kg;54.21
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Pigmeat;2011;kg;53.48
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Pigmeat;2012;kg;52.43
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Pigmeat;2013;kg;51.81
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Poultry Meat;2004;kg;14.52
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Poultry Meat;2005;kg;14.41
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Poultry Meat;2006;kg;13.93
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Poultry Meat;2007;kg;15.14
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Poultry Meat;2008;kg;16.65
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Poultry Meat;2009;kg;16.8
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Poultry Meat;2010;kg;17.78
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Poultry Meat;2011;kg;17.97
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Poultry Meat;2012;kg;17.61
Food Supply - Livestock and Fish Primary Equivalent;Germany;Food supply quantity (kg/capita/yr);Poultry Meat;2013;kg;17.75
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Bovine Meat;2004;kg;17.82
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Bovine Meat;2005;kg;17.76
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Bovine Meat;2006;kg;19.4
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Bovine Meat;2007;kg;18.43
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Bovine Meat;2008;kg;18.29
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Bovine Meat;2009;kg;19.09
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Bovine Meat;2010;kg;20.28
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Bovine Meat;2011;kg;17.93
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Bovine Meat;2012;kg;17.02
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Bovine Meat;2013;kg;16.1
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2004;kg;14.4
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2005;kg;14.44
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2006;kg;14.67
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2007;kg;13.92
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2008;kg;13.68
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2009;kg;13.41
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2010;kg;13.04
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2011;kg;13.32
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2012;kg;12.86
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2013;kg;12.47
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Pigmeat;2004;kg;26.88
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Pigmeat;2005;kg;29.08
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Pigmeat;2006;kg;31.98
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Pigmeat;2007;kg;28.84
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Pigmeat;2008;kg;29.4
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Pigmeat;2009;kg;29.91
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Pigmeat;2010;kg;29.29
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Pigmeat;2011;kg;31.35
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Pigmeat;2012;kg;27.44
Food Supply - Livestock and Fish Primary Equivalent;Greece;Food supply quantity (kg/capita/yr);Pigmeat;2013;kg;28.31
