Domain;Country;Element;Item;Year;Unit;Value
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Bovine Meat;2008;kg;17.85
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Bovine Meat;2009;kg;17.35
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Bovine Meat;2010;kg;17.41
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Bovine Meat;2011;kg;17.3
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Bovine Meat;2012;kg;17.43
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Bovine Meat;2013;kg;17.14
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2004;kg;1.11
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2005;kg;1.15
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2006;kg;1.14
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2007;kg;0.98
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2008;kg;1.18
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2009;kg;1.13
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2010;kg;1.1
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2011;kg;1.13
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2012;kg;1.13
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2013;kg;1.16
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Pigmeat;2004;kg;56.86
