,Area,years,value,population,consumption per habita
121,Netherlands,2008,1472.0,16405399,89.72655892124294
122,Poland,2008,2927.0,38115641,76.79262169564458
123,Portugal,2008,1010.0,10553339,95.70430742346096
124,Romania,2008,1388.0,20635460,67.26285723700853
125,Slovakia,2008,330.0,5376064,61.38319781907358
126,Slovenia,2008,180.0,2010269,89.54025555783828
127,Spain,2008,4636.0,45668939,101.51319696741805
128,Sweden,2008,739.0,9182927,80.47543011068258
129,United Kingdom,2008,5063.0,61571647,82.22940666180328
130,Austria,2009,776.0,8335003,93.10134621427251
131,Belgium,2009,728.0,10753080,67.70153295613908
132,Bulgaria,2009,415.0,7467119,55.57699026893773
133,Croatia,2009,292.0,4309796,67.75262680646601
134,Denmark,2009,373.0,5511451,67.67727772595637
135,Estonia,2009,101.0,1335740,75.61351760073069
136,Finland,2009,396.0,5326314,74.34785106548355
137,France,2009,5800.0,64350226,90.13177358537948
138,Germany,2009,7212.0,82002356,87.94869259610053
139,Greece,2009,917.0,11094745,82.65174188320687
140,Hungary,2009,787.0,10030975,78.45697950598023
141,Ireland,2009,390.0,4521322,86.2579572965606
142,Italy,2009,5298.0,59000586,89.79571830015384
143,Latvia,2009,141.0,2162834,65.19224314025024
144,Lithuania,2009,242.0,3183856,76.0084626942927
145,Luxembourg,2009,49.0,493500,99.29078014184397
146,Malta,2009,41.0,410926,99.7746552907336
147,Netherlands,2009,1480.0,16485787,89.77430073553661
148,Poland,2009,3002.0,38135876,78.71852740448391
149,Portugal,2009,1020.0,10563014,96.56334830191459
150,Romania,2009,1462.0,20440290,71.52540399377895
151,Slovakia,2009,330.0,5382401,61.310927966905474
152,Slovenia,2009,179.0,2032362,88.07486067934748
153,Spain,2009,4502.0,46239273,97.36312246950769
154,Sweden,2009,735.0,9256347,79.40497477028465
155,United Kingdom,2009,5051.0,62042343,81.41214138221699
156,Austria,2010,788.0,8351643,94.35269203915924
157,Belgium,2010,758.0,10839905,69.92681208922033
158,Bulgaria,2010,392.0,7421766,52.81761780147744
159,Croatia,2010,265.0,4302847,61.58713056727325
160,Denmark,2010,432.0,5534738,78.0524751126431
161,Estonia,2010,102.0,1333290,76.50248633080575
162,Finland,2010,407.0,5351427,76.05448042176414
163,France,2010,5820.0,64658856,90.01087182860148
164,Germany,2010,7335.0,81802257,89.66745257407752
165,Greece,2010,925.0,11119289,83.18877223174971
166,Hungary,2010,709.0,10014324,70.79858810240212
167,Ireland,2010,369.0,4549428,81.10909767117977
168,Italy,2010,5437.0,59190143,91.85651063556308
169,Latvia,2010,138.0,2120504,65.07886804269174
170,Lithuania,2010,232.0,3141976,73.83888355608063
171,Luxembourg,2010,50.0,502066,99.58850031669144
172,Malta,2010,40.0,414027,96.61205670161608
173,Netherlands,2010,1346.0,16574989,81.20669039358035
174,Poland,2010,2987.0,38022869,78.55798572169817
175,Portugal,2010,1019.0,10573479,96.37319939823023
176,Romania,2010,1288.0,20294683,63.464898663359264
177,Slovakia,2010,320.0,5390410,59.36468654517931
178,Slovenia,2010,177.0,2046976,86.46901575787894
179,Spain,2010,4462.0,46486619,95.98461010898642
180,Sweden,2010,762.0,9340682,81.57862562926347
181,United Kingdom,2010,5168.0,62510197,82.6745114881017
182,Austria,2011,785.0,8375164,93.72950786396541
183,Belgium,2011,739.0,11000638,67.17792186235016
184,Bulgaria,2011,416.0,7369431,56.44940565967712
185,Croatia,2011,262.0,4289857,61.07429688215714
186,Denmark,2011,422.0,5560628,75.89070874728537
187,Estonia,2011,106.0,1329660,79.71962757396628
188,Finland,2011,407.0,5375276,75.71704225048165
189,France,2011,5764.0,64978721,88.70596267969017
190,Germany,2011,7380.0,80222065,91.9946401279997
191,Greece,2011,903.0,11123392,81.18027306778365
192,Hungary,2011,732.0,9985722,73.30466439983007
193,Ireland,2011,358.0,4570881,78.32188149286756
194,Italy,2011,5283.0,59364690,88.99229491470435
195,Latvia,2011,143.0,2074605,68.92878403358712
196,Lithuania,2011,227.0,3052588,74.36313056331218
197,Luxembourg,2011,51.0,511840,99.64051266020631
198,Malta,2011,41.0,414989,98.79779945974471
199,Netherlands,2011,1285.0,16655799,77.15030662894047
200,Poland,2011,3038.0,38062718,79.81563481619993
201,Portugal,2011,986.0,10572721,93.2588687434389
202,Romania,2011,1191.0,20199059,58.96314278798829
203,Slovakia,2011,333.0,5392446,61.753052325419674
204,Slovenia,2011,170.0,2050189,82.9191845239634
205,Spain,2011,4453.0,46667174,95.42039121546121
206,Sweden,2011,780.0,9415570,82.84150614354733
207,United Kingdom,2011,5270.0,63022532,83.62088657434455
208,Austria,2012,753.0,8408121,89.55627541516112
209,Belgium,2012,805.0,11075889,72.68039612892473
210,Bulgaria,2012,412.0,7327224,56.22866176876809
211,Croatia,2012,296.0,4275984,69.22383245587449
212,Denmark,2012,620.0,5580516,111.10083727024526
213,Estonia,2012,84.0,1325217,63.385845487946504
214,Finland,2012,430.0,5401267,79.61095054178955
215,France,2012,5807.0,65276983,88.95938098119517
216,Germany,2012,7244.0,80327900,90.18037319536549
217,Greece,2012,868.0,11086406,78.29408376348476
218,Hungary,2012,718.0,9931925,72.29212866589307
219,Ireland,2012,376.0,4589287,81.92993813635974
220,Italy,2012,5289.0,59394207,89.04908857525449
221,Latvia,2012,132.0,2044813,64.55358020513367
222,Lithuania,2012,229.0,3003641,76.240802412805
223,Luxembourg,2012,51.0,524853,97.17006476099021
224,Malta,2012,40.0,417546,95.79782826323327
225,Netherlands,2012,1532.0,16730348,91.57012155395692
226,Poland,2012,2941.0,38063792,77.265029190996
227,Portugal,2012,965.0,10542398,91.53515167991192
228,Romania,2012,1178.0,20095996,58.61864224097178
229,Slovakia,2012,279.0,5404322,51.625347268352996
230,Slovenia,2012,163.0,2055496,79.29959484231543
231,Spain,2012,4487.0,46818219,95.83875883873327
232,Sweden,2012,767.0,9482855,80.88281430012375
233,United Kingdom,2012,5313.0,63495088,83.67576402130508
234,Austria,2013,784.0,8451860,92.76064676887691
235,Belgium,2013,784.0,11137974,70.38982134452819
236,Bulgaria,2013,389.0,7284552,53.40067584114988
237,Croatia,2013,285.0,4262140,66.8678175752087
238,Denmark,2013,613.0,5602628,109.41293978468676
239,Estonia,2013,80.0,1320174,60.598072678298465
240,Finland,2013,427.0,5426674,78.68539735388563
241,France,2013,5657.0,65600350,86.23429600604265
242,Germany,2013,7216.0,80523746,89.61331729400666
243,Greece,2013,887.0,11003615,80.60987230105742
244,Hungary,2013,652.0,9908798,65.80011016472432
245,Ireland,2013,398.0,4609779,86.33819538854249
246,Italy,2013,5145.0,59685227,86.20223560513558
247,Latvia,2013,126.0,2023825,62.258347436166666
248,Lithuania,2013,238.0,2971905,80.08331356486832
249,Luxembourg,2013,52.0,537039,96.82723228666819
250,Malta,2013,41.0,422509,97.03935300786492
251,Netherlands,2013,1532.0,16779575,91.30147813636519
252,Poland,2013,2968.0,38062535,77.97693979131974
253,Portugal,2013,966.0,10487289,92.11150755929393
254,Romania,2013,1085.0,20020074,54.19560387239328
255,Slovakia,2013,297.0,5410836,54.88985435891977
256,Slovenia,2013,149.0,2058821,72.37151748500719
257,Spain,2013,4428.0,46727890,94.76139410531911
258,Sweden,2013,798.0,9555893,83.5086788853747
259,United Kingdom,2013,5255.0,63905342,82.23099721459906
